OFFER_ID,OFFER_LINE_ID,OFFER_DATE,EXPECTED_JOIN_DATE,STUDENT_ID,COMPANY_ID,COLLEGE_ID,ROLE_TITLE,OFFER_LEVEL,CTC_LPA,MONTHLY_STIPEND,JOB_CITY,HIRING_MODE,OFFER_STATUS,IS_JOINED,UPDATED_AT
OF9078,1,2020-05-30,2020-08-05,ST01323,CO4094,CL1484,Software Engineer,INTERN,30.04,42047.9,Bengaluru,OFF_CAMPUS,REJECTED,0,2026-01-02 12:44:00
OF9079,1,2016-09-05,2017-02-27,ST00317,CO2677,CL1268,Data Analyst,INTERN,36.7,39595.0,Hyderabad,OFF_CAMPUS,REJECTED,0,2026-01-04 20:59:00
OF9080,1,2018-05-12,2018-08-03,ST00487,CO2298,CL0908,Software Engineer,FTE,13.18,0.0,Hyderabad,OFF_CAMPUS,JOINED,1,2026-01-02 13:45:00
OF9081,1,2021-01-03,2021-06-10,ST00015,CO2149,CL4259,Software Engineer,INTERN,9.49,31659.5,Chennai,OFF_CAMPUS,REJECTED,0,2026-01-03 23:30:00
OF9082,1,2022-04-13,2022-08-04,ST03388,CO1696,CL4732,Data Analyst,INTERN,44.83,16748.7,Pune,REFERRAL,OFFERED,0,2026-01-03 00:58:00
OF9083,1,2023-05-28,2023-08-19,ST04804,CO0936,CL3021,Software Engineer,INTERN,13.21,38567.4,Noida,OFF_CAMPUS,ACCEPTED,0,2026-01-04 06:16:00
OF9084,1,2015-07-29,2016-01-05,ST02079,CO1839,CL0449,Software Engineer,FTE,28.11,0.0,Bengaluru,ON_CAMPUS,ACCEPTED,0,2026-01-02 17:00:00
OF9085,1,2016-12-05,2017-01-23,ST03089,CO1271,CL2258,QA Engineer,FTE,22.92,0.0,Bengaluru,OFF_CAMPUS,JOINED,1,2026-01-05 05:50:00
OF9086,1,2019-05-07,2019-06-25,ST01571,CO3100,CL0196,Data Analyst,FTE,13.58,0.0,Bengaluru,ON_CAMPUS,ACCEPTED,0,2026-01-04 01:01:00
OF9087,1,2020-07-22,2020-11-07,ST03888,CO0979,CL0281,QA Engineer,INTERN,26.72,59929.6,Chennai,ON_CAMPUS,ACCEPTED,0,2026-01-01 17:08:00
OF9088,1,2024-05-05,2024-09-18,ST02299,CO1808,CL0051,Data Analyst,INTERN,42.22,24408.6,Chennai,OFF_CAMPUS,REJECTED,0,2026-01-03 10:03:00
OF9089,1,2025-04-16,2025-09-11,ST04099,CO0786,CL4848,Data Analyst,INTERN,40.96,18212.8,Chennai,ON_CAMPUS,OFFERED,0,2026-01-04 19:45:00
OF9090,1,2017-10-07,2018-03-30,ST00069,CO0203,CL0118,Data Analyst,INTERN,9.24,88205.5,Bengaluru,OFF_CAMPUS,WITHDRAWN,0,2026-01-02 17:27:00
OF9091,1,2016-05-30,2016-08-16,ST04210,CO3187,CL2634,QA Engineer,INTERN,31.57,79896.4,Noida,OFF_CAMPUS,REJECTED,0,2026-01-02 15:50:00
OF9092,1,2017-09-23,2018-02-06,ST04896,CO0696,CL2357,QA Engineer,FTE,27.41,0.0,Pune,ON_CAMPUS,WITHDRAWN,0,2026-01-01 12:57:00
OF9093,1,2025-03-14,2025-08-02,ST03598,CO4187,CL1216,Software Engineer,INTERN,38.08,114630.6,Hyderabad,OFF_CAMPUS,ACCEPTED,0,2026-01-02 10:33:00
OF9094,1,2016-06-10,2016-07-29,ST02712,CO4322,CL0207,Software Engineer,FTE,5.56,0.0,Pune,REFERRAL,OFFERED,0,2026-01-05 05:10:00
OF9095,1,2023-08-30,2024-02-09,ST02636,CO0115,CL0219,Software Engineer,FTE,13.36,0.0,Hyderabad,OFF_CAMPUS,OFFERED,0,2026-01-03 10:19:00
OF9096,1,2018-12-21,2019-06-17,ST04085,CO3358,CL2796,Data Analyst,INTERN,18.15,76581.9,Chennai,ON_CAMPUS,WITHDRAWN,0,2026-01-01 11:09:00
OF9097,1,2020-09-03,2021-02-12,ST01731,CO4149,CL4509,Software Engineer,INTERN,23.77,22299.9,Bengaluru,OFF_CAMPUS,OFFERED,0,2026-01-03 15:39:00
OF9098,1,2019-11-23,2019-12-23,ST01044,CO0428,CL2951,Data Analyst,INTERN,17.84,72244.1,Bengaluru,REFERRAL,WITHDRAWN,0,2026-01-04 19:29:00
OF9099,1,2023-06-30,2023-09-13,ST03423,CO1277,CL2231,Data Analyst,FTE,20.76,0.0,Chennai,REFERRAL,WITHDRAWN,0,2026-01-04 14:46:00
OF9100,1,2017-04-15,2017-09-13,ST00764,CO0200,CL1542,Software Engineer,FTE,39.43,0.0,Noida,REFERRAL,WITHDRAWN,0,2026-01-03 06:27:00
OF9101,1,2021-08-25,2022-01-29,ST02328,CO1468,CL2834,Data Analyst,FTE,12.86,0.0,Bengaluru,OFF_CAMPUS,WITHDRAWN,0,2026-01-02 04:18:00
OF9102,1,2024-04-11,2024-08-25,ST00169,CO1762,CL3624,Data Analyst,INTERN,18.31,63170.1,Pune,OFF_CAMPUS,ACCEPTED,0,2026-01-04 06:58:00
OF9103,1,2022-06-24,2022-10-13,ST03855,CO1983,CL0974,QA Engineer,FTE,40.97,0.0,Hyderabad,REFERRAL,OFFERED,0,2026-01-02 13:37:00
OF9104,1,2019-11-04,2020-01-31,ST00871,CO0265,CL0758,QA Engineer,INTERN,23.39,15556.6,Bengaluru,ON_CAMPUS,WITHDRAWN,0,2026-01-03 17:56:00
OF9105,1,2016-08-11,2016-10-01,ST01391,CO1858,CL3054,QA Engineer,INTERN,26.46,80121.6,Bengaluru,REFERRAL,ACCEPTED,0,2026-01-03 01:31:00
OF9106,1,2018-01-31,2018-06-27,ST01332,CO0088,CL0031,QA Engineer,INTERN,26.14,76756.3,Pune,REFERRAL,JOINED,1,2026-01-03 23:12:00
OF9107,1,2020-06-13,2020-10-30,ST03667,CO1627,CL2543,QA Engineer,INTERN,9.62,80817.0,Bengaluru,REFERRAL,REJECTED,0,2026-01-05 07:04:00
OF9108,1,2020-04-13,2020-09-11,ST04992,CO1292,CL3415,Software Engineer,FTE,9.98,0.0,Chennai,OFF_CAMPUS,OFFERED,0,2026-01-01 20:10:00
OF9109,1,2020-03-16,2020-05-07,ST02466,CO1723,CL3686,QA Engineer,INTERN,32.48,106246.3,Noida,REFERRAL,REJECTED,0,2026-01-05 11:36:00
OF9110,1,2025-04-07,2025-07-29,ST02837,CO3270,CL0992,Data Analyst,INTERN,17.8,76858.2,Hyderabad,ON_CAMPUS,REJECTED,0,2026-01-02 08:15:00
OF9111,1,2019-12-15,2020-02-15,ST03529,CO0432,CL0763,Software Engineer,INTERN,14.83,96814.5,Chennai,REFERRAL,ACCEPTED,0,2026-01-03 01:06:00
OF9112,1,2015-10-03,2015-11-27,ST01079,CO1944,CL3330,Software Engineer,INTERN,42.8,109061.7,Chennai,REFERRAL,WITHDRAWN,0,2026-01-03 17:25:00
OF9113,1,2024-12-11,2025-02-09,ST00883,CO0248,CL1333,QA Engineer,INTERN,40.85,62550.8,Pune,OFF_CAMPUS,WITHDRAWN,0,2026-01-04 23:56:00
OF9114,1,2019-07-29,2019-10-10,ST03529,CO2564,CL1283,QA Engineer,FTE,32.09,0.0,Hyderabad,REFERRAL,ACCEPTED,0,2026-01-04 08:35:00
OF9115,1,2015-11-08,2016-05-05,ST03063,CO0268,CL2937,Data Analyst,INTERN,31.43,85490.1,Pune,OFF_CAMPUS,ACCEPTED,0,2026-01-03 15:41:00
OF9116,1,2021-06-23,2021-09-09,ST01608,CO3088,CL4420,QA Engineer,INTERN,10.28,113511.7,Noida,ON_CAMPUS,REJECTED,0,2026-01-01 12:37:00
OF9117,1,2020-05-17,2020-07-29,ST03261,CO1524,CL1799,Data Analyst,INTERN,6.15,76783.1,Pune,ON_CAMPUS,WITHDRAWN,0,2026-01-02 08:52:00
OF9118,1,2015-08-12,2015-12-06,ST00949,CO4757,CL3389,Data Analyst,INTERN,18.72,57920.9,Chennai,ON_CAMPUS,JOINED,1,2026-01-03 07:27:00
OF9119,1,2024-10-06,2024-12-13,ST00646,CO1065,CL0778,QA Engineer,FTE,24.37,0.0,Hyderabad,REFERRAL,JOINED,1,2026-01-01 23:12:00
OF9120,1,2015-12-27,2016-05-13,ST01850,CO4369,CL4536,Software Engineer,FTE,31.35,0.0,Noida,REFERRAL,JOINED,1,2026-01-04 08:48:00
OF9121,1,2019-05-02,2019-09-25,ST02747,CO3142,CL3009,Data Analyst,FTE,37.25,0.0,Bengaluru,OFF_CAMPUS,REJECTED,0,2026-01-01 12:33:00
OF9122,1,2024-03-09,2024-08-15,ST03780,CO0009,CL3568,QA Engineer,FTE,42.35,0.0,Noida,OFF_CAMPUS,REJECTED,0,2026-01-01 12:49:00
OF9123,1,2019-06-01,2019-07-22,ST01577,CO2713,CL3989,QA Engineer,FTE,22.29,0.0,Hyderabad,REFERRAL,WITHDRAWN,0,2026-01-02 15:23:00
OF9124,1,2022-08-15,2022-11-27,ST04324,CO4166,CL1324,QA Engineer,FTE,35.35,0.0,Bengaluru,REFERRAL,ACCEPTED,0,2026-01-03 00:23:00
OF9125,1,2025-04-29,2025-09-07,ST04803,CO2895,CL0429,QA Engineer,INTERN,40.0,81428.0,Pune,OFF_CAMPUS,JOINED,1,2026-01-02 18:00:00
OF9126,1,2023-09-18,2023-11-20,ST03530,CO2962,CL2885,Software Engineer,FTE,20.83,0.0,Chennai,REFERRAL,REJECTED,0,2026-01-03 04:41:00
OF9127,1,2020-11-10,2021-03-29,ST01872,CO0796,CL0816,Data Analyst,FTE,43.69,0.0,Bengaluru,REFERRAL,ACCEPTED,0,2026-01-03 18:42:00
OF9128,1,2024-04-18,2024-06-03,ST03271,CO0217,CL2348,Data Analyst,FTE,39.96,0.0,Chennai,ON_CAMPUS,OFFERED,0,2026-01-03 21:51:00
OF9129,1,2017-08-05,2017-11-01,ST03272,CO0556,CL3308,Data Analyst,INTERN,10.74,43360.9,Pune,REFERRAL,REJECTED,0,2026-01-03 06:13:00
OF9130,1,2021-01-06,2021-03-10,ST01356,CO2499,CL3935,Software Engineer,FTE,43.37,0.0,Bengaluru,OFF_CAMPUS,REJECTED,0,2026-01-03 22:53:00
OF9131,1,2021-05-30,2021-11-03,ST01187,CO3780,CL0185,Data Analyst,INTERN,42.03,90450.7,Bengaluru,REFERRAL,OFFERED,0,2026-01-02 08:36:00
OF9132,1,2017-11-09,2018-03-27,ST02793,CO4171,CL2714,QA Engineer,FTE,44.41,0.0,Hyderabad,ON_CAMPUS,JOINED,1,2026-01-03 23:04:00
OF9133,1,2025-02-05,2025-04-11,ST04236,CO1470,CL1611,QA Engineer,INTERN,10.32,91041.6,Hyderabad,ON_CAMPUS,REJECTED,0,2026-01-03 16:45:00
OF9134,1,2023-02-04,2023-06-19,ST02439,CO3211,CL3849,Data Analyst,FTE,5.93,0.0,Noida,ON_CAMPUS,WITHDRAWN,0,2026-01-05 08:08:00
OF9135,1,2016-08-20,2016-10-22,ST00256,CO3786,CL0530,QA Engineer,FTE,31.16,0.0,Bengaluru,OFF_CAMPUS,OFFERED,0,2026-01-03 07:11:00
OF9136,1,2021-07-08,2021-11-09,ST00923,CO4834,CL0124,Software Engineer,INTERN,12.66,91755.7,Chennai,REFERRAL,REJECTED,0,2026-01-04 18:54:00
OF9137,1,2025-04-22,2025-08-07,ST03633,CO4150,CL1801,QA Engineer,FTE,19.34,0.0,Noida,ON_CAMPUS,REJECTED,0,2026-01-04 22:04:00
OF9138,1,2017-12-10,2018-01-10,ST02046,CO4306,CL3009,Data Analyst,FTE,7.71,0.0,Pune,OFF_CAMPUS,REJECTED,0,2026-01-03 05:02:00
OF9139,1,2019-10-07,2020-01-17,ST04816,CO0935,CL4372,QA Engineer,FTE,33.4,0.0,Chennai,REFERRAL,JOINED,1,2026-01-03 15:16:00
OF9140,1,2016-06-25,2016-09-19,ST02961,CO4961,CL1519,Data Analyst,FTE,28.99,0.0,Chennai,ON_CAMPUS,ACCEPTED,0,2026-01-04 00:41:00
OF9141,1,2018-01-02,2018-03-22,ST04761,CO2497,CL0475,Data Analyst,FTE,27.72,0.0,Chennai,ON_CAMPUS,ACCEPTED,0,2026-01-03 00:14:00
OF9142,1,2018-03-30,2018-05-21,ST01593,CO1395,CL2619,Data Analyst,INTERN,5.99,22426.4,Chennai,OFF_CAMPUS,OFFERED,0,2026-01-05 09:43:00
OF9143,1,2022-08-19,2022-10-16,ST01293,CO0409,CL3037,Data Analyst,FTE,39.77,0.0,Hyderabad,OFF_CAMPUS,REJECTED,0,2026-01-05 06:35:00
OF9144,1,2016-02-01,2016-03-11,ST00036,CO1785,CL2492,Data Analyst,FTE,33.41,0.0,Noida,OFF_CAMPUS,ACCEPTED,0,2026-01-05 13:08:00
OF9145,1,2020-10-16,2021-03-03,ST01517,CO2994,CL4124,Software Engineer,INTERN,15.7,72743.3,Bengaluru,ON_CAMPUS,REJECTED,0,2026-01-05 03:15:00
OF9146,1,2023-07-11,2023-10-13,ST03554,CO0017,CL1544,Software Engineer,FTE,5.8,0.0,Noida,ON_CAMPUS,WITHDRAWN,0,2026-01-04 07:52:00
OF9147,1,2019-04-20,2019-05-23,ST00074,CO1223,CL2116,QA Engineer,FTE,17.71,0.0,Chennai,ON_CAMPUS,OFFERED,0,2026-01-03 19:08:00
