COLLEGE_ID,COLLEGE_NAME,CITY,STATE,COUNTRY,OWNERSHIP,TIER,CATEGORY,ESTABLISHED_DATE,STATUS
CL0050,Delhi University Campus 50,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0051,Amity University Campus 51,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0052,IIT Delhi Campus 52,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0053,College of Engineering Pune (COEP) Campus 53,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0054,Manipal Institute of Technology Campus 54,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0055,JNTU Hyderabad Campus 55,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0056,NIT Trichy Campus 56,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0057,PSG College of Technology Campus 57,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0058,IIT Delhi Campus 58,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0059,IIT Delhi Campus 59,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0060,Manipal Institute of Technology Campus 60,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0061,IIT Delhi Campus 61,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0062,SRM Institute of Science and Technology Campus 62,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0063,Anna University - CEG Campus 63,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0064,College of Engineering Pune (COEP) Campus 64,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0065,SRM Institute of Science and Technology Campus 65,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0066,College of Engineering Pune (COEP) Campus 66,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0067,Manipal Institute of Technology Campus 67,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0068,College of Engineering Pune (COEP) Campus 68,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0069,NIT Trichy Campus 69,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0070,JNTU Hyderabad Campus 70,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0071,JNTU Hyderabad Campus 71,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0072,SRM Institute of Science and Technology Campus 72,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0073,PSG College of Technology Campus 73,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0074,BITS Pilani Campus 74,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0075,IIT Delhi Campus 75,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0076,Anna University - CEG Campus 76,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0077,Anna University - CEG Campus 77,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0078,Jadavpur University Campus 78,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0079,NIT Trichy Campus 79,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0080,IIT Madras Campus 80,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0081,Delhi University Campus 81,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0082,BITS Pilani Campus 82,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0083,Amity University Campus 83,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0084,Delhi University Campus 84,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0085,SRM Institute of Science and Technology Campus 85,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0086,JNTU Hyderabad Campus 86,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0087,Delhi University Campus 87,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0088,VIT Vellore Campus 88,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0089,NIT Trichy Campus 89,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0090,IIT Bombay Campus 90,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0091,Manipal Institute of Technology Campus 91,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0092,VIT Vellore Campus 92,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0093,Anna University - CEG Campus 93,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0094,BITS Pilani Campus 94,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0095,Amity University Campus 95,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0096,NIT Trichy Campus 96,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0097,IIT Bombay Campus 97,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0098,Anna University - CEG Campus 98,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0099,NIT Trichy Campus 99,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0100,JNTU Hyderabad Campus 100,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0101,VIT Vellore Campus 101,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
,,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0103,IIT Bombay Campus 103,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0104,IIT Madras Campus 104,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0105,IIT Bombay Campus 105,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0106,IIT Delhi Campus 106,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0107,Anna University - CEG Campus 107,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0108,VIT Vellore Campus 108,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0109,PSG College of Technology Campus 109,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0110,Amity University Campus 110,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0111,Amity University Campus 111,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0112,BITS Pilani Campus 112,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0113,IIT Madras Campus 113,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0114,NIT Trichy Campus 114,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0115,SRM Institute of Science and Technology Campus 115,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0116,PSG College of Technology Campus 116,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0117,NIT Trichy Campus 117,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0118,SRM Institute of Science and Technology Campus 118,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0119,SRM Institute of Science and Technology Campus 119,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0120,Jadavpur University Campus 120,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0121,NIT Trichy Campus 121,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0122,SRM Institute of Science and Technology Campus 122,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0123,Anna University - CEG Campus 123,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0124,SRM Institute of Science and Technology Campus 124,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0125,IIT Bombay Campus 125,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0126,VIT Vellore Campus 126,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0127,VIT Vellore Campus 127,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0128,BITS Pilani Campus 128,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0129,JNTU Hyderabad Campus 129,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0130,PSG College of Technology Campus 130,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0131,IIT Delhi Campus 131,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0132,JNTU Hyderabad Campus 132,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0133,NIT Trichy Campus 133,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0134,VIT Vellore Campus 134,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0135,Anna University - CEG Campus 135,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0136,VIT Vellore Campus 136,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0137,IIT Delhi Campus 137,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0138,Amity University Campus 138,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0139,Delhi University Campus 139,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0140,NIT Trichy Campus 140,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0141,BITS Pilani Campus 141,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0142,BITS Pilani Campus 142,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0143,Delhi University Campus 143,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0144,JNTU Hyderabad Campus 144,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0145,BITS Pilani Campus 145,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0146,Delhi University Campus 146,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0147,BITS Pilani Campus 147,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0148,Jadavpur University Campus 148,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0149,IIT Madras Campus 149,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0150,College of Engineering Pune (COEP) Campus 150,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0151,Delhi University Campus 151,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0152,PSG College of Technology Campus 152,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0153,College of Engineering Pune (COEP) Campus 153,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0154,NIT Trichy Campus 154,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0155,JNTU Hyderabad Campus 155,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0156,IIT Bombay Campus 156,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0157,Jadavpur University Campus 157,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0158,College of Engineering Pune (COEP) Campus 158,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0159,Manipal Institute of Technology Campus 159,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0160,JNTU Hyderabad Campus 160,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0161,NIT Trichy Campus 161,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0162,SRM Institute of Science and Technology Campus 162,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0163,VIT Vellore Campus 163,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0164,Delhi University Campus 164,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0165,Anna University - CEG Campus 165,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0166,Manipal Institute of Technology Campus 166,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0167,Delhi University Campus 167,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0168,BITS Pilani Campus 168,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0169,College of Engineering Pune (COEP) Campus 169,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0170,PSG College of Technology Campus 170,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
CL0171,Delhi University Campus 171,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0172,IIT Delhi Campus 172,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0173,College of Engineering Pune (COEP) Campus 173,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0174,IIT Bombay Campus 174,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0175,Delhi University Campus 175,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0176,IIT Delhi Campus 176,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0177,BITS Pilani Campus 177,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0178,IIT Madras Campus 178,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0179,NIT Trichy Campus 179,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0180,JNTU Hyderabad Campus 180,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0181,BITS Pilani Campus 181,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0182,JNTU Hyderabad Campus 182,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0183,IIT Madras Campus 183,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0184,BITS Pilani Campus 184,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
CL0185,NIT Trichy Campus 185,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0186,JNTU Hyderabad Campus 186,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0187,VIT Vellore Campus 187,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
,,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0189,IIT Madras Campus 189,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0190,VIT Vellore Campus 190,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0191,VIT Vellore Campus 191,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
,,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0193,Jadavpur University Campus 193,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0194,IIT Madras Campus 194,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0195,IIT Delhi Campus 195,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0196,IIT Bombay Campus 196,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0197,NIT Trichy Campus 197,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0198,VIT Vellore Campus 198,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0199,VIT Vellore Campus 199,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
CL0200,Amity University Campus 200,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0201,College of Engineering Pune (COEP) Campus 201,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0202,SRM Institute of Science and Technology Campus 202,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0203,College of Engineering Pune (COEP) Campus 203,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0204,College of Engineering Pune (COEP) Campus 204,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0205,IIT Bombay Campus 205,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
,,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0207,College of Engineering Pune (COEP) Campus 207,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0208,IIT Delhi Campus 208,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0209,Delhi University Campus 209,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0210,IIT Delhi Campus 210,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0211,Delhi University Campus 211,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0212,JNTU Hyderabad Campus 212,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0213,NIT Trichy Campus 213,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0214,IIT Bombay Campus 214,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0215,IIT Madras Campus 215,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0216,IIT Madras Campus 216,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0217,Jadavpur University Campus 217,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0218,Amity University Campus 218,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0219,IIT Madras Campus 219,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0220,NIT Trichy Campus 220,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
CL0221,Jadavpur University Campus 221,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0222,IIT Bombay Campus 222,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
CL0223,Amity University Campus 223,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0224,Amity University Campus 224,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
,,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0226,Amity University Campus 226,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0227,Manipal Institute of Technology Campus 227,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0228,IIT Delhi Campus 228,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
CL0229,Jadavpur University Campus 229,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
CL0230,IIT Madras Campus 230,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
CL0231,Delhi University Campus 231,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0232,SRM Institute of Science and Technology Campus 232,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0233,Manipal Institute of Technology Campus 233,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
CL0234,SRM Institute of Science and Technology Campus 234,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
CL0235,Anna University - CEG Campus 235,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
CL0236,Delhi University Campus 236,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
CL0237,College of Engineering Pune (COEP) Campus 237,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0238,JNTU Hyderabad Campus 238,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0239,Amity University Campus 239,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
CL0240,JNTU Hyderabad Campus 240,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
CL0241,College of Engineering Pune (COEP) Campus 241,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
CL0242,College of Engineering Pune (COEP) Campus 242,Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
